Player,teamID,IP,k.rate,bb.rate,BABIP,era,FIP,year
Eric Johnson,WAR,0.1,100,0,0,0,-13.71,2002
Kyle Bassett,COE,6.2,12,8,0.409,1.35,1.41,2002
Chad Osler,COE,5.1,19,9.5,0.353,1.69,1.45,2002
Nate Iverson,COE,10,20.5,20.5,0.343,1.8,5.19,2002
Nick Nissen,COE,5,20,10,0.375,1.8,2.76,2002
Tom Prock,LOR,4.2,16.7,11.1,0.333,1.93,2.08,2002
Eric Melander,COR,22.2,21.4,13.1,0.292,2.78,4,2002
Jay Lawrence,COR,9.2,16.2,8.1,0.258,2.79,1.2,2002
Ben Ramsay,SIM,9.1,31.3,25,0.333,2.89,6.72,2002
Kent Patterson,CEN,6,8.3,4.2,0.143,3,4.51,2002
Adam Busch,DBQ,17,26.1,11.6,0.32,3.71,4.46,2002
Joe Balvanz,SIM,7,11.5,15.4,0.318,3.86,9.18,2002
Mike Kelley,DBQ,11.1,6.8,6.8,0.263,3.97,7.69,2002
David Fischer,LOR,24.1,8.4,10.5,0.279,4.07,4.52,2002
Aaron Nielsen,COE,27.1,18.6,17.8,0.389,4.61,5.68,2002
Corey Schultz,LOR,28,32.1,8.3,0.361,4.82,3.4,2002
Jon Osborn,UIU,22,23.7,16.1,0.324,4.91,7.08,2002
Adam Rozenboom,CEN,24.2,7.3,8.3,0.313,5.11,4.4,2002
Blake Shepherd,SIM,1.2,12.5,0,0.429,5.4,-1.14,2002
Andrew Buck,COR,14.2,22.6,9.7,0.37,5.52,5.57,2002
Nipsey Massey,UIU,27.2,21,17.1,0.3,5.53,6.67,2002
Bobby Glaser,UIU,29,18.4,12.3,0.333,5.59,5.42,2002
Mike Kastner,COE,38.1,8.6,14.5,0.25,5.87,8.72,2002
Brad Paulsrud,LUT,16.2,10.3,11.8,0.328,5.94,2.98,2002
Erich Minton,CEN,19.2,18.5,18.5,0.274,5.95,10.16,2002
Joe Lubach,CEN,3,0,8.3,0.25,6,2.14,2002
Alex Howe,DBQ,25.1,15.1,14.2,0.333,6.04,6.53,2002
Justin Patnode,LUT,13.1,15.9,7.9,0.319,6.08,14.09,2002
Matt Ditch,COR,2.2,30,20,0.286,6.75,3.97,2002
Travis Johnson,COE,1.1,16.7,16.7,0.6,6.75,10.44,2002
David Isaacson,SIM,17,25.4,16.4,0.333,6.88,7.81,2002
Andy Schemmel,DBQ,13,14,1.8,0.408,6.92,1.63,2002
Chris Davis,COR,11.2,13.3,10,0.404,6.94,2.46,2002
Pete Bonifas,LOR,32.1,16.8,8,0.355,6.96,4.54,2002
J.P. Newman,DBQ,27,11.1,11.1,0.306,7,8.59,2002
Austin DeHoogh,CEN,9,11.1,25,0.2,7,11.02,2002
Ryan Williams,COR,14.2,30.9,21.8,0.389,7.36,7.09,2002
Justin Eichelberger,UIU,11,20,20,0.389,7.36,4.72,2002
Lance Ploeger,BVU,29.2,9.4,7,0.333,7.58,5.86,2002
Eric Van Wyngarden,CEN,16.1,31.3,9.4,0.317,7.71,5.45,2002
Justin Flansburg,COR,26.2,12.1,10.3,0.322,7.76,6.57,2002
Gary Hess,WAR,32.1,30.7,23.4,0.383,7.79,8.75,2002
Wade Samo,SIM,25,28,26,0.408,7.92,7.89,2002
Brandon Noerrlinger,SIM,17,17.9,6.4,0.381,7.94,2.89,2002
Adam Hadenfeldt,COR,11,2,18.4,0.34,8.18,7.85,2002
Andy Keding,CEN,18.2,17.5,10,0.438,8.2,5.75,2002
Jeremiah Knutzen,BVU,18.1,15,18.8,0.415,8.35,8.65,2002
Andrew Arthur,WAR,26.2,16.5,14.8,0.411,8.44,4.07,2002
Kyle Lehman,SIM,12.1,0,8.6,0.321,8.76,9.18,2002
Tyler Broders,COR,32.1,9,12.5,0.349,8.91,7.09,2002
John Duffel,COE,3,25,50,0.167,9,16.23,2002
Matt Motsenblocke,WAR,2,10,10,0.444,9,2.53,2002
Vince Klopfenstein,SIM,1,20,0,0.75,9,-1.37,2002
Jon Fry,LUT,1,20,0,0.75,9,5.06,2002
Dru Williams,SIM,11.2,27.3,20.5,0.419,10.03,6.36,2002
Alex Smith,LUT,15,14.3,11.4,0.492,10.2,6.65,2002
Nick Ginapp,BVU,9.2,13,6.5,0.405,10.24,9.53,2002
Josh Jansen,LUT,24.1,9.8,8,0.402,10.36,5.66,2002
Josh Earley,UIU,5.2,3.7,14.8,0.333,11.12,16.15,2002
Jared Pirkl,WAR,8,17.6,41.2,0.346,11.25,20.09,2002
Casey Ragar,CEN,6,34.6,23.1,0.529,12,4.37,2002
Corey Parr,DBQ,3,21.4,0,0.6,12,6.43,2002
Matt Eggers,LOR,10.1,20,22.2,0.371,12.19,10.64,2002
Brent Delger,SIM,3.2,17.6,11.8,0.357,12.27,8.76,2002
Joel Foreman,COR,4.1,21.7,13,0.444,12.46,3.03,2002
Jesse Evans,UIU,16.1,16.5,7.6,0.397,12.67,7.64,2002
Cody Tibbets,BVU,22.1,13.1,13.1,0.42,12.9,8.79,2002
Eric Caspers,DBQ,24.1,6.7,14.4,0.379,13.32,6.08,2002
Dave Hunerdosse,COE,3,12.5,6.3,0.643,15,1.23,2002
Shawn Parker,SIM,15.2,17.1,15.8,0.5,15.51,12.87,2002
Mike Fong,BVU,12,6.2,15.4,0.5,17.25,10.06,2002
Eric Kaestner,WAR,1,0,33.3,0.333,18,12.86,2002
Greg Shepherd,CEN,5,4,16,0.478,19.8,10.83,2002
Kris Hardy,DBQ,4.1,5,15,0.529,20.77,15.78,2002
Jackson Hayek,UIU,1.2,28.6,14.3,0.5,21.6,22.57,2002
Adam Rath,BVU,3.2,4.2,16.7,0.522,22.09,7.61,2002
Nigel Millard,LUT,4,0,16.7,0.5,22.5,9.64,2002
Emile Shaffer,UIU,0.1,0,0,0.5,27,0,2002
Brandon Bray,SIM,0.1,50,0,1,27,-13.71,2002
Brandon Bowling,UIU,1.1,15.4,0,0.667,40.5,40.04,2002
Jason Matusiak,COR,1,0,0,0.727,45,6.43,2002
Jay Rieman,SIM,0,0,0,1,99,NA,2002
Adam Haight,WAR,2,33.3,16.7,0,0,1.45,2003
Tim Griffith,DBQ,1,25,0,0.333,0,3.97,2003
Neal Pruess,COE,1,0,66.7,0,0,20.18,2003
Jeff Bruxvoort,WAR,1,25,0,0.333,0,3.97,2003
Matt Heller,BVU,0,0,0,0,0,NA,2003
AJ Simmons,SIM,9,21.2,6.1,0.308,1,1.41,2003
Nick Kafka,BVU,5,15,10,0.412,1.8,1.37,2003
Nick Ginapp,BVU,4.1,27.8,5.6,0.333,2.08,5.63,2003
Chris Pauley,DBQ,28,22.2,6.5,0.301,2.57,1.36,2003
Justin Shepard,DBQ,9.1,15.4,5.1,0.313,2.89,2.97,2003
Brad Paulsrud,LUT,40,11.6,10.3,0.299,2.92,2.29,2003
Cory Schultz,LOR,69.1,33.8,5.7,0.38,2.99,0.95,2003
Ryan Stout,UIU,3,27.3,36.4,0.125,3,7.33,2003
Patrick Smith,WAR,82.2,22.8,6,0.349,3.05,2.13,2003
Austin DeHoogh,CEN,17.1,23.3,10,0.289,3.12,3.44,2003
Scott Brown,SIM,48.1,14.1,9,0.306,3.17,2.06,2003
Jason Hillman,BVU,23.2,13.3,11.2,0.289,3.42,3.81,2003
Ryan Rosenberg,COR,63,26.9,12.6,0.285,3.43,2.13,2003
Jason Kuffel,LOR,32,14.4,7.6,0.304,3.66,1.83,2003
Ryan Moorman,WAR,73.2,22.7,13.3,0.32,3.67,2.99,2003
Tim Cundiff,LOR,41.2,14.7,7.1,0.296,3.67,2.64,2003
Justin Eichelberger,UIU,36.2,26.7,10.3,0.308,3.68,3.29,2003
Wade Samo,SIM,26.1,22.9,11.5,0.26,3.76,2.5,2003
Shawn Parker,SIM,54,16,6.2,0.346,3.83,2.51,2003
Tom Prock,LOR,2.1,11.1,44.4,0.375,3.86,9.1,2003
Jim Barclay,CEN,39.1,26.1,7.5,0.379,3.89,2.06,2003
Justin Patnode,LUT,40.2,16.3,3.6,0.372,3.98,1.32,2003
Mike Donnenwerth,SIM,52.2,16.1,6,0.307,4.1,2.07,2003
Mike Wieseler,COE,45.2,15.8,4.2,0.363,4.14,1.84,2003
Eric Johnson,WAR,4.1,5,15,0.389,4.15,7.91,2003
Ben Ramsay,SIM,21.1,20.5,12.5,0.319,4.22,3.54,2003
Mitch Bockenstedt,COE,40,29.2,11.8,0.423,4.5,2.89,2003
Mike Droste,UIU,22,21.3,21.3,0.311,4.5,5.42,2003
Adam Hadenfeldt,COR,6,4.2,12.5,0.304,4.5,4.03,2003
Aaron Nielsen,COE,2,0,25,0.125,4.5,7.57,2003
Steve James,COE,35.2,15.4,10.7,0.363,4.54,3.06,2003
Travis Kisner,COE,33.1,11.4,4.3,0.322,4.59,2.67,2003
Ben Furbish,LUT,9.2,17.9,15.4,0.219,4.66,2.47,2003
Mike Kelley,DBQ,24,10.1,9.1,0.36,4.88,2.49,2003
Tyler Archer,WAR,3.2,25,16.7,0.444,4.91,2.14,2003
David Fischer,LOR,45.1,17.8,6.3,0.344,4.96,1.86,2003
Andrew Buck,COR,47,16.6,7.5,0.335,4.98,3.45,2003
JD Hews,SIM,43.1,24.4,6.5,0.308,4.98,3.83,2003
Mike Soenen,BVU,21.2,26,8.3,0.493,4.98,3.08,2003
Mickey Kinzenbaw,UIU,39.2,16.6,10.4,0.343,4.99,2.64,2003
Chris Goerdt,WAR,73.2,15.4,8.2,0.336,5.01,2.55,2003
Jon Osborn,UIU,34,22.7,12,0.383,5.03,3.17,2003
Brent Wilson,COE,37.1,18.1,9.4,0.347,5.06,4.19,2003
Jon Ludovissy,LOR,58.1,16.7,10.6,0.304,5.09,3.22,2003
Tom Hauck,COE,41.2,20.9,7.6,0.362,5.18,3.82,2003
Jason Roggentien,UIU,48.1,21.1,12.4,0.377,5.21,2.78,2003
Andy Arthur,WAR,23.1,16.1,12.6,0.356,5.4,1.97,2003
Ash Larsen,WAR,21.1,14.6,6.7,0.36,5.48,1.88,2003
Jon Fry,LUT,27.2,16.4,20.9,0.311,5.53,5.09,2003
Tim Kinney,DBQ,50.1,19,13,0.327,5.54,3.41,2003
Adam Busch,DBQ,48.2,15.6,9.3,0.335,5.55,3.56,2003
Grant Finley,WAR,17.2,13.3,10.7,0.338,5.6,3.19,2003
Matt Loptien,COR,59.2,22.6,19.7,0.328,5.73,4.79,2003
John Jaeger,LUT,47,21,4.4,0.38,5.74,1.76,2003
Kent Patterson,CEN,42,12.4,10.8,0.323,5.79,4.36,2003
Chris Green,UIU,55.2,15.4,4,0.372,6.14,3.68,2003
Joshua Knoll,DBQ,59.2,14.3,10.9,0.338,6.18,3.47,2003
Jeremiah Knutzen,BVU,31.2,8.7,15.7,0.33,6.25,5.86,2003
Josh Jevne,LUT,50,8.3,8.3,0.371,6.3,4.44,2003
Ryan Brock,BVU,50.2,16.5,12.3,0.368,6.39,4.26,2003
Brandon Hunt,COE,7,18.2,21.2,0.5,6.43,6.75,2003
Josh August,SIM,22.1,16.3,6.7,0.405,6.45,3.72,2003
Mike Kastner,COE,11,7.5,3.8,0.396,6.55,2.65,2003
Nathan Kleve,BVU,60.1,19.2,8.5,0.382,6.71,3.2,2003
Caleb Klein,WAR,10.2,17.9,30.8,0.267,6.75,9.79,2003
Nick DePenning,CEN,8,15,17.5,0.323,6.75,11.76,2003
Corey Parr,DBQ,4,29.4,17.6,0.364,6.75,8.29,2003
Jared Miller,SIM,1.1,20,40,0.25,6.75,8.2,2003
Adam Rozenboom,CEN,18.1,14.7,17.3,0.333,6.87,5.1,2003
Brandon Bowling,UIU,17.2,15.2,13.9,0.333,7.13,4.42,2003
Gavin Mitchell,CEN,15,6.3,14.3,0.345,7.2,4.64,2003
Ryan Page,DBQ,33.1,16,11.3,0.374,7.29,3.63,2003
Terry Beavers,SIM,16,18,4.9,0.354,7.31,3.76,2003
Charlie Colvin,WAR,7.1,19.4,25.8,0.333,7.36,9.49,2003
Joe Poole,BVU,3.2,14.3,14.3,0.273,7.36,8.22,2003
Nick Poch,CEN,24.1,13.2,7.5,0.375,7.4,4.73,2003
Justin Kingrey,CEN,21.2,17.8,26.7,0.352,7.48,8.21,2003
Eric Van Wyngarden,CEN,28.2,15.5,10.3,0.326,7.53,4.31,2003
Justin Flansburg,COR,28.2,19.3,7.6,0.419,7.53,3.76,2003
Steve Domino,WAR,14.1,18.8,15.6,0.4,7.53,7.77,2003
Kevin Corkery,LOR,25,12.8,3.2,0.468,7.56,0.32,2003
David Issacson,SIM,19,16,27.2,0.379,7.58,7.84,2003
Dylan Hagen,COR,11.2,9.8,5.9,0.356,7.71,3.41,2003
Ryan Williams,COR,27.2,18.5,15.1,0.383,7.81,5.24,2003
Jesse Evans,UIU,16.1,2.7,1.3,0.338,8.27,3.71,2003
Ryan Conway,LUT,30.2,12.6,4.9,0.444,8.51,1.47,2003
Adam Rath,BVU,26,12.3,14.9,0.384,8.65,3.81,2003
Tyler Broders,COR,29,13.2,19,0.353,8.69,5.66,2003
Chris Larson,COE,9,17.5,17.5,0.438,9,5.13,2003
Eric Melander,COR,5,11.5,3.8,0.545,9,4.04,2003
Chad McDonald,WAR,3,11.1,16.7,0.5,9,4.33,2003
Pete Bonifas,LOR,24,15.2,6.4,0.422,9.38,4.52,2003
Cody Tibbetts,BVU,32,15.7,10.5,0.407,9.84,6.26,2003
Brian Vaughan,COR,2.2,7.1,0,0.364,10.12,18.5,2003
Casey Rager,CEN,6,17.4,30.4,0.176,10.5,13.81,2003
Matt Rohach,CEN,19.2,20.3,21.5,0.403,10.53,5.84,2003
Nate Eichmeyer,COR,7.1,17.1,22.9,0.464,11.05,7.36,2003
Mike Poch,CEN,8.1,10.8,13.5,0.333,11.88,5.7,2003
Mike Blavat,DBQ,10,13,19.6,0.447,13.5,8.58,2003
Matt Motsenbocker,WAR,0.2,20,0,0.5,13.5,-5.38,2003
Chris Carlton,BVU,11.2,9,4.5,0.431,13.89,7.5,2003
Nick Reid,LUT,6.2,15.9,6.8,0.583,14.85,4.19,2003
Andre Robles,DBQ,3.1,18.8,18.8,0.462,16.2,5.47,2003
Michael Fong,BVU,7.2,2.4,21.4,0.463,17.61,11.06,2003
Justin Burns,BVU,3,5.9,17.6,0.429,18,18.61,2003
Matt Petersen,WAR,2,0,20,0.4,18,5.05,2003
Chris Gaulin,LOR,1,25,0,0.333,18,-1.08,2003
Dan Mang,UIU,1,12.5,12.5,0.714,27,3.97,2003
Jared Pirkl,WAR,0.2,0,250,0,27,126.14,2003
Mike Gordon,UIU,2,9.1,36.4,0.6,31.5,12.08,2003
Cass Stubbs,CEN,1,0,20,0.625,81,61.95,2003
Matt Mausser,LOR,0.1,0,16.7,0.667,99,50.45,2003
Ben Gabriel,DBQ,0.1,50,150,1,99,191.06,2003
Nick Blomme,WAR,0,0,Inf,0,99,Inf,2003
Jordan Stadheim,LUT,0,0,16.7,0.667,99,Inf,2003
Brock Auten,COE,4.2,33.3,27.8,0.333,0,7.15,2005
Michael Blavat,DBQ,4,15.8,0,0.438,0,-1.29,2005
Adam Busch,DBQ,2.1,12.5,0,0.143,0,-0.82,2005
Brandon Arndt,BVU,1.1,16.7,0,0.4,0,-1.57,2005
Aaron Meyer,LOR,1.1,12.5,25,0.286,0,13.12,2005
Chris Borgman,CEN,1.1,28.6,14.3,0.2,0,4.21,2005
Adam Hadenfeldt,COR,0.2,33.3,0,0.5,0,-8.61,2005
Clint Henning,SIM,0.1,100,0,0,0,-17.22,2005
Justin Shaffer,DBQ,0.1,0,0,0,0,0,2005
Jeff Greenwald,COR,0.1,0,0,0.5,0,161.51,2005
Team,COR,5.1,0,0,0,0,NA,2005
Justin VanBeek,BVU,58.1,4.3,21.7,0.273,1.69,7.58,2005
Ryan Moorman,WAR,4.2,21.7,10.8,0.192,1.85,4.24,2005
Casey Pauli,WAR,36,5.6,11.1,0.235,1.93,3.44,2005
Aaron Saeugling,WAR,103.1,22.1,6.6,0.221,2,2.07,2005
Matt Scherbring,WAR,42,16.6,7.2,0.251,2.44,3.79,2005
Brett Mahan,CEN,3,23.7,12.2,0.274,3,5.27,2005
Brad Joniec,COR,89.2,14.3,0,0.333,3,-1.15,2005
Charlie Colvin,WAR,49.1,13,8.1,0.293,3.01,4.61,2005
Kamron Koplitz,DBQ,58,16,5.9,0.265,3.1,3.38,2005
Wade Samo,SIM,61.1,22.4,13.7,0.352,3.1,6.5,2005
Matt Mausser,LOR,41,23.2,6.9,0.323,3.23,2.23,2005
Terry Beavers,SIM,5,15.1,7.8,0.343,3.29,4.59,2005
Marcos Tabares,DBQ,26,20,10,0.438,3.6,1.85,2005
Jake Ritchey,SIM,13.1,19.5,14.2,0.422,3.81,5.89,2005
Ryan Dunn,LOR,73,6.6,13.1,0.386,4.05,5.02,2005
Brandon Hunt,COE,54.2,22.6,8.8,0.337,4.07,4.78,2005
Justin Patnode,LUT,4.1,18.1,4,0.339,4.12,3.49,2005
Alex Ross,LUT,47.1,33.3,0,0.333,4.15,-0.55,2005
Andre Robles,DBQ,8.1,11.6,6.9,0.335,4.18,4.15,2005
Joseph Hapanionek,DBQ,18.1,26.7,3.3,0.273,4.32,1.29,2005
Chad Scieszinski,SIM,46.2,13.3,13.3,0.375,4.42,5.58,2005
Nick Ginapp,BVU,78.1,9.5,7.8,0.287,4.44,5.87,2005
Shawn Parker,SIM,62,19.9,6.1,0.348,4.48,2.76,2005
Brad Paulsrud,LUT,41.2,15.9,7.8,0.362,4.5,3.36,2005
Jeremiah Tacker,COE,70,15.4,8.9,0.31,4.54,4.72,2005
Dan Christiansen,BVU,51.2,17.5,14.6,0.287,4.63,8.56,2005
Austin DeHoogh,CEN,20.2,8.2,6.4,0.296,4.7,5.26,2005
Bill Planton,LUT,13,10.2,9.1,0.269,4.79,4.29,2005
Matt Motsenbocker,WAR,25.2,6.1,6.1,0.356,4.85,4.35,2005
Tom Hauck,COE,3.2,15.9,10.3,0.333,4.91,3.65,2005
Jon Doudna,CEN,3.2,5.9,17.6,0.286,4.91,25.4,2005
Justin List,BVU,36,8.3,50,0.1,4.91,28.84,2005
Jamey Rannals,DBQ,63.2,22.6,9,0.298,5,7.93,2005
Brent Poffenbarger,LOR,44,12.1,9.3,0.346,5.09,4.26,2005
Tyler Archer,WAR,29.2,13.3,10,0.344,5.11,4.25,2005
Jeremy Rannals,DBQ,73.2,12.3,13.9,0.317,5.16,7.11,2005
Mitch Bockenstedt,COE,49.2,24.3,4.9,0.384,5.25,3.1,2005
Jim Bose,COR,15.1,9.9,12,0.32,5.26,5.18,2005
Aaron Hadenfeldt,COR,60.2,13.1,21.3,0.314,5.28,10.47,2005
John Jaeger,LUT,10,10.7,4.7,0.321,5.34,3.41,2005
Ben Gander,CEN,1.2,4.5,4.5,0.341,5.4,5.02,2005
Mike Quinn,COR,62.2,14.3,14.3,0.333,5.4,18.75,2005
Mike Soenen,BVU,44.2,16.9,11.8,0.3,5.6,5.89,2005
Jared Greenfield,CEN,19,6.9,9.5,0.335,5.64,7.69,2005
Ryan Suttenfield,COR,15.2,11.8,11.8,0.318,5.68,6.26,2005
Scott McGuire,LOR,46,12.3,9.6,0.339,5.74,6.57,2005
Dan Cutler,LOR,32,19.8,10.4,0.367,5.87,6.22,2005
Tad Barry,COR,10.2,16.4,5.5,0.31,5.91,7.82,2005
Zack Mundy,WAR,9,23.8,16.7,0.276,5.91,13.29,2005
Todd Lawler,WAR,31,29.4,11.8,0.292,6,1.68,2005
Jon Fry,LUT,20.2,7,10.1,0.282,6.1,6.51,2005
Aaron Patterson,COE,44,13.5,22.5,0.421,6.1,9.63,2005
Timothy Kinney,DBQ,24.2,16.7,6.8,0.385,6.14,4.54,2005
Teren Bladel,COE,42,19.4,23.7,0.329,6.2,9.82,2005
Kyle Pearson,LUT,8.1,18.9,10.1,0.368,6.43,4.39,2005
Matt Ritchey,SIM,43,12.2,14.6,0.361,6.48,5.92,2005
Michael Cassidy,DBQ,11,15,10.2,0.378,6.49,6.19,2005
Mark Voelliger,SIM,24.1,13.5,11.5,0.386,6.55,7.45,2005
Kent Patterson,CEN,64.1,14.3,8.9,0.355,6.66,6.54,2005
Bobby Friederick,LOR,22.2,15.2,14.1,0.322,6.72,7.25,2005
Drew Riemenschneider,CEN,1.1,15.4,11,0.342,6.75,4.97,2005
Don Pirkle,LOR,1.1,25,25,0.333,6.75,5.78,2005
Chad Kramer,COE,28.2,50,50,0.667,6.75,17.33,2005
Zach Habben,BVU,10.1,18.5,22.2,0.247,6.91,10.78,2005
Matt Petersen,WAR,19.1,19.6,9.8,0.475,6.97,5.2,2005
Dan Reis,BVU,22.2,14.5,17.4,0.276,6.98,7.4,2005
Trent Kain,SIM,36,7.5,17.2,0.365,7.15,9.15,2005
Quince Springer,COE,3.2,17.2,16.6,0.316,7.25,8.88,2005
Karl Boleen,LUT,17.2,5.9,17.6,0.25,7.36,9.56,2005
Mike Luce,CEN,2.1,11.8,13.2,0.344,7.64,11.27,2005
Aaron Becker,LOR,50,6.7,0,0.429,7.71,-0.82,2005
Matt Rohach,CEN,15,15.9,13,0.343,7.74,9.06,2005
Anthony Kobler,COR,43.2,9.1,6.1,0.483,7.8,6.46,2005
Ryan Rosenberg,COR,37.2,20.9,17.8,0.389,7.83,7.8,2005
Dan Cleary,COR,11.1,11.9,7.5,0.435,7.88,5.62,2005
Lee Boyse,COE,3.1,17.5,30,0.323,7.94,15.85,2005
Nick DePenning,CEN,3.1,6.3,12.5,0.4,8.1,7.26,2005
Brook Beisell,SIM,8.2,30.8,15.4,0.286,8.1,21.95,2005
Keaton Sansgaard,SIM,3,21.1,26.3,0.467,8.31,12.11,2005
Chad Osler,COE,1,23.1,30.8,0.4,9,9.05,2005
Tanner Ludwig,CEN,14,28.6,14.3,0.6,9,4.63,2005
Michael Barta,BVU,3.2,10.5,21.1,0.306,9.64,12.11,2005
Kyle Fuerstenberg,CEN,13.2,5.6,5.6,0.4,9.82,20.36,2005
Matt Barilla,LOR,29.1,10.1,7.2,0.426,9.88,7.43,2005
Adam Rath,BVU,7.2,10.1,11.6,0.392,10.43,9.59,2005
Bradlee Kirkman,DBQ,5.1,15,5,0.375,11.74,8.97,2005
Ben Rudman,COR,23,6.9,3.4,0.5,11.81,9.84,2005
Ryan Williams,COR,3,8.3,11,0.495,12.52,5.87,2005
Cody Smith,COE,4.2,6.7,13.3,0.615,15,19.99,2005
Alex Fokken,BVU,2.1,7.7,19.2,0.375,15.43,10.72,2005
Anthony Cozzi,COR,2.2,27.3,9.1,0.75,15.43,1.39,2005
Mike Koenecke,BVU,2.2,21.4,14.3,0.5,16.88,18.35,2005
Justin Burns,BVU,3.2,27.3,27.3,0.5,16.88,12.33,2005
Dustin Roth,LOR,77,5,25,0.474,22.09,17.13,2005
Aaron Saeugling,WAR,65.2,20.6,5.5,0.25,1.17,0.79,2007
Ryan Dupic,BVU,81.2,18.5,2.8,0.262,1.78,0.52,2007
Ryan Nicholson,COE,75,20.4,11.7,0.277,2.09,3.31,2007
Nate Todd,LUT,77.2,20.7,8.2,0.315,2.4,1.36,2007
Adam Kohls,LUT,89,17.7,11,0.272,2.55,1.59,2007
Matt Barilla,LOR,73.2,14.7,7.5,0.316,2.83,2.2,2007
Brett Mahan,CEN,46,19.2,5.5,0.287,2.93,1.49,2007
Justin List,BVU,65.1,8.6,4.8,0.314,3.13,1.58,2007
Billy Schmitt,WAR,67.2,15.7,6.6,0.299,3.31,1.59,2007
Mike Luce,CEN,66,17.4,13.6,0.276,3.33,3.82,2007
Casey Korn,COR,44.2,21.6,8.2,0.33,3.41,1.44,2007
Max Flaig,LUT,61,13.1,13.8,0.304,3.43,3.5,2007
Alec Lewis,COE,77.2,16.7,7.3,0.267,3.54,2.54,2007
Brent Poffenbarger,LOR,43.2,11.1,5.2,0.325,3.59,1.61,2007
Adam Squires,CEN,57,16.6,17.2,0.306,3.71,4.52,2007
Joe Nelson,LUT,39.1,12.4,13.3,0.311,4.11,3.84,2007
Jeff Boyle,COR,45.2,12.6,12,0.342,4.12,2.88,2007
Lee Boyse,COE,89,12.7,9,0.323,4.14,2.37,2007
Tadd Boals,DBQ,53.2,10.1,2.2,0.328,4.35,2.11,2007
Chad Scieszinski,SIM,42,16.5,8.3,0.341,4.36,1.48,2007
Trevor Talbott,CEN,47.2,13.6,7.4,0.358,4.71,2.29,2007
Jim Bose,COR,48.1,13.2,10,0.333,4.72,2.06,2007
Luke Albert,WAR,61,21.6,8.9,0.367,4.84,2.69,2007
