attendance,date,game_id,game_number,home_batter_1,home_batter_2,home_batter_3,home_batter_4,home_batter_5,home_batter_6,home_batter_7,home_batter_8,home_batter_9,home_errors,home_final_score,home_finishing_pitcher,home_hits,home_line_score,home_position_1,home_position_2,home_position_3,home_position_4,home_position_5,home_position_6,home_position_7,home_position_8,home_position_9,home_starting_pitcher,home_team,home_team_long,losing_pitcher,notes,number_of_innings,play-by-play,save,site,start,time,umpires,visiting_team,visiting_team_long,visitor_batter_1,visitor_batter_2,visitor_batter_3,visitor_batter_4,visitor_batter_5,visitor_batter_6,visitor_batter_7,visitor_batter_8,visitor_batter_9,visitor_errors,visitor_final_score,visitor_finishing_pitcher,visitor_hits,visitor_line_score,visitor_position_1,visitor_position_2,visitor_position_3,visitor_position_4,visitor_position_5,visitor_position_6,visitor_position_7,visitor_position_8,visitor_position_9,visitor_starting_pitcher,winning_pitcher
74,"Mar 20, 2014",simaib1,,Michael Chia,Jake Barr,Tyler Craig,Jake Esdohr,Nick Anderson,Josh Pirtle,Bud Smith,Jake Scieszinski,Brett Crable,0,9,Adam Richman,11,00200700X,3b,lf,1b,ss,dh,rf,c,2b,cf,Jalen Sickels,"simpson college
",Simpson College,"Bloem, R",,9,Y,,"Indianola, Iowa (McBride Field)",4:05 pm   ,2:30   ,HP: Patrick McIlhon  1B: Matt Badeaux,aib college of bus.,AIB College of Bus.,"Leverett, Steven","Stout, Jay","Close, Zach","Wardian, Shawn","Ingram, Rob","Daane, Jordan","Munson, Jon","Jouris, Jacob","Uletschy, Jordan",3,4,"Barton, Colton",5,040000000,ss,lf,cf,2b,c,3b,rf,1b,dh,"Cathie, Gavin",Gibson (2-0)
219,"Apr 22, 2014",coecor,,Nate Streb,Beriah Quick,Buddy Mattern,Max Freilinger,Wyatt Kurzejeski,John Tesensky,Chris Rana,Chuck Rocker,Brandon Davis,4,10,Beriah Quick,12,00204103X,2b,ss/p,c,dh,3b,rf,1b,cf,lf,Billy Pearson,"cornell college
",Cornell College,Tickle (0-2),,9,Y,Quick (3),"Cedar Rapids, Iowa (Veterans Memorial)",5:00 pm   ,2:26   ,HP: Scott Bane  1B: Chris Oberbrockling,"coe college
",Coe College,Michael Redmond,Alec Zwanziger,AJ Reuter,Craig Konrardy,Michael Goerdt,Colton Janssen,Cole Tomlinson,Ben Larison,Thomas Schaedel,4,8,Jeremy Santiago,8,040000130,cf,dh,1b,ss,lf,rf,c,3b,2b,Jack Hoffmann,Capesius (2-0)
,"Mar 16, 2014",cenaugs,,Jordan Judkins,Adam Ariola,Robbie Rushing,Andrew O'Toole,Zach Brown,Jace Ahrendsen,Dakotah Wolken,Jake Effron,Kirby Coppess,1,10,Andy Carr,10,00070003X,ss,2b,dh,rf,1b,c,cf,lf,3b,Judson McKown,"central college
",Central College,T,,9,Y,(0-2),"Tucson, Ariz. (Kino Sports Complex)",10:00 am   ,  ,,augsburg college,Augsburg College,B.Brookshaw,G.Kappers,G.Mariscal,A.Carl,A.Welckle,A.Julkowski,S.Piette,R.Hebig,J.Buescher,1,2,M.Fontneau,8,000020000,2b,3b,cf,ss,1b,dh,rf,c,lf,T.Flakne,McKown (1-1)
500,"Mar 30, 2014",coewar3,1,Jackson Litterer,Jacob Thumann,Ryan Powers,Ryan Kemp,DJ Utley,Blake Wilson,Jake Raecker,Joe Grote,Tyler Mougin,0,2,Michael Schinstock,6,01000001,1b,lf,3b,cf,dh,c,rf,2b,ss,Michael Schinstock,"wartburg college
",Wartburg College,Tickle (3-1),,8,Y,,"Waverly, Iowa (Hertel Field)",1 p.m.   ,2:02 HR   ,HP: Rob Riggs  1B: Jay Wiechman,"coe college
",Coe College,Ben Larison,Craig Konrardy,AJ Reuter,Jory Heckenberg,Colton Janssen,Michael Goerdt,Cole Tomlinson,Michael Redmond,Brett Slager,1,1,Jake Tickle,5,00010000,2b,ss,1b,dh,3b,lf,c,cf,rf,Kyle Brady,Schinstock (2-0)
275,"Mar 29, 2014",coewar2,2,Jackson Litterer,Jacob Thumann,Ryan Powers,Ryan Kemp,DJ Utley,Blake Wilson,Michael Schinstock,Joe Grote,Tyler Mougin,0,6,Alex Steines,7,01400001X,1b,lf,3b,cf,dh,c,rf,2b,ss,Parker Bolt,"wartburg college
",Wartburg College,Hoffmann (0-1),,9,Y,Steines (1),"Waverly, Iowa (Hertel Field)",3:00 pm   ,2:05 HR   ,HP: Rod Rigs  1B: Jay Weichman,"coe college
",Coe College,Ben Larison,Cole Tomlinson,Craig Konrardy,AJ Reuter,Colton Janssen,Michael Goerdt,Michael Redmond,Thomas Gandolfi,Thomas Schaedel,2,4,Jake Tickle,10,000000040,2b,c,3b,1b,dh,lf,cf,rf,ss,Jack Hoffmann,Bolt (3-2)
50,"Apr 01, 2014",censim1,1,Jordan Judkins,Jake Effron,Robbie Rushing,Adam Ariola,Zach Brown,Andrew O'Toole,Grant Seuferer,Jace Ahrendsen,Dakotah Wolken,1,8,Robbie Rushing,6,330002X,ss,lf,p,2b,3b,rf,1b,c,cf,Robbie Rushing,"central college
",Central College,Richman (0-1),,7,Y,,"Pella, Iowa (Kuyper Athl. Complex)",1 p.m.   ,2:44   ,HP: Alec Clark  1B: Micah Shull,"simpson college
",Simpson College,Michael Chia,Jake Barr,Tyler Craig,Jake Esdohr,Brett Crable,Austin Burlin,Jake Scieszinski,Nick Anderson,Bud Smith,2,4,Adam Richman,7,1020001,3b,lf,1b,ss,cf,rf,2b,dh,c,Adam Richman,Rushing (2-0)
72,"Mar 14, 2014",waralb,,Brendan Diamond,Dan Mills,Davin Montgomery,Michael Fischbach,Spencer Bonofiglio,Kyle Kowal,Lee Madziar,Ben Crawford,Tony Cappelletty,4,5,Erich Klingelhofer,13,003000020,cf,3b,ss,rf,c,1b,lf,dh,2b,Patrick Monahan,albion college,Albion College,Monahan (0-2),,9,Y,,"Eagle Lake, Fla. (Lake Region H.S.)",12:06 pm   ,2:51   ,,"wartburg college
",Wartburg College,Jackson Litterer,Jacob Thumann,Ryan Powers,Ryan Kemp,DJ Utley,Blake Wilson,Michael Schinstock,Joe Grote,Tyler Mougin,0,15,Michael Knouse,17,153121020,1b,lf,3b,cf,dh,c,rf,2b,ss,Parker Bolt,Bolt (2-2)
189,"Mar 19, 2014",dbqpla,,Daniel Casanova,Will Fogel,Steve Ryan,Austin McWhite,Michael Salazar,Dalton Garst,Austin Monfross,Vince Parisi,Gaetano Florio,2,3,Reed Stumpf,10,100000002,cf,2b,rf,1b,lf,dh,3b,c,ss,Tyler Trifiletti,"dubuque, univ. of","Dubuque, Univ. of",1-0),,9,Y,Trifiletti (0-1),"Fort Myers, Fla. (Player Development)",10:00 am   ,2:03   ,,plattsburgh state,Plattsburgh State,Y.OSAWA,N.LUPO,B.LATULIPE,F.BUKSA,J.RODRIGUEZ,Z.HIEB,C.PESCETTI,J.CASTEN,L.WEAVER,0,6,Y.OSAWA,11,200000103,3b/p,rf,ss,dh,lf,2b,1b,c,cf,J.LEDDY,J
627,"May 10, 2014",14iiac09,,Jordan Judkins,Andrew O'Toole,Robbie Rushing,Adam Ariola,Grant Seuferer,Zach Zylstra,Jake Effron,Kirby Coppess,Jace Ahrendsen,1,7,Andy Carr,13,30101002X,ss,rf,dh,2b,1b,lf,cf,3b,c,Blake Judkins,"central college
",Central College,,,9,Y,Petrosky (3-6),"Cedar Rapids, Iowa (Veterans Mem. Stad.)",10:00 AM   ,2:25   ,HP: Paul Keitel  1B: Bret Miell  2B: Matt Moo,"loras college
",Loras College,Mike Pudlo,Spencer Bonner,Patrick Walsh,Nick Battalini,Niko Andriotis,Eric DeSousa,Alex Rodriguez,Danny Fahlgren,Mark Jablonski,1,2,Connor Schreck,6,100000010,ss,1b,3b,rf,lf,dh,2b,c,cf,Will Petrosky,"Judkins, B"
38,"Apr 16, 2014",lorari,,"Van Duyne, J","Prior, Jeff","Fifer, Danny","Stewart, Gra","Tenerelli, N","Lenihan, Kyl","Camalick, Ja","Gingerich, T","Fluehr, Alex",1,8,"SantAmour, C",16,00100502X,cf,rf,lf,1b,c,3b,dh,2b,ss,"Hodgman, Kev",augustana (ill.),Augustana (Ill.),Canady (2-1),,9,Y,,"Moline, Ill. (Swanson/Brunner)",5:02 p.m   ,2:06   ,HP: Scott Behn  1B: Alex Clark,"loras college
",Loras College,Mike Pudlo,Cole Reeg,Patrick Walsh,Eric DeSousa,Danny Fahlgren,Nick Battalini,Niko Andriotis,Spencer Bonner,Alex Rodriguez,2,4,Jeremy Gerardy,15,100012000,ss,cf,3b/p,1b,c,rf,lf,dh,2b,Jake Norton,"Hodgman, Kev (1-0)"
